,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,435,543","+19,244","756,017","+1,094","23,072,460","+10,891","9,607,066","22,014",,,,,,North America,,,,,
,,,Asia,,"24,919,497","+54,264","397,386",+676,"23,430,592","+46,427","1,091,519","21,831",,,,,,Asia,,,,,
,,,South America,,"17,856,132","+5,558","463,826",+108,"16,154,042","+4,873","1,238,264","18,862",,,,,,South America,,,,,
,,,Europe,,"33,996,853","+111,891","811,002","+2,137","23,519,347","+73,756","9,666,504","25,343",,,,,,Europe,,,,,
,,,Africa,,"3,910,310","+2,942","103,362",+59,"3,468,969","+3,375","337,979","2,552",,,,,,Africa,,,,,
,,,Oceania,,"51,105",+8,"1,088",,"34,272",+4,"15,745",6,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"114,170,161","+193,907","2,532,696","+4,074","89,680,388","+139,326","21,957,077","90,608","14,647",324.9,,,,All,,,,,
,1,USA,"29,143,480","+6,568","523,296 ",+214,"19,534,782",+714,"9,085,402","15,455","87,708","1,575","356,194,003","1,071,976","332,277,970 ",North America,116351,
,2,India,"11,095,852","+16,758","157,078 ",+108,"10,772,691","+11,552","166,083","8,944","7,989",113,"215,435,383","155,112","1,388,901,219 ",Asia,"1258,8426",
,3,Brazil,"10,457,794",,"252,988 ",,"9,355,974",,"848,832","8,318","48,971","1,185","28,600,000","133,925","213,551,580 ",South America,208447,
,4,Russia,"4,234,720","+11,534","85,743 ",+439,"3,799,406","+16,020","349,571","2,300","29,010",587,"110,600,000","757,660","145,975,683 ",Europe,"341,7021",
,5,UK,"4,170,519","+7,434","122,705 ",+290,"2,779,169",,"1,268,645","1,971","61,223","1,801","89,162,545","1,308,897","68,120,388 ",Europe,165551,
,6,France,"3,712,020",,"86,147 ",,"254,868",,"3,371,005","3,430","56,786","1,318","51,853,607","793,250","65,368,578 ",Europe,187591,
,7,Spain,"3,188,553",,"69,142 ",,"2,647,446",,"471,965","3,021","68,180","1,478","38,491,517","823,054","46,766,708 ",Europe,156761,
,8,Italy,"2,907,825","+18,916","97,507 ",+280,"2,398,352","+11,320","411,966","2,216","48,140","1,614","39,875,863","660,161","60,403,209 ",Europe,216192,
,9,Turkey,"2,683,971",,"28,432 ",,"2,556,785",,"98,754","1,195","31,601",335,"32,939,661","387,827","84,933,885 ",Asia,"322,9873",
,10,Germany,"2,437,760","+1,254","70,460 ",+39,"2,243,200","+7,400","124,100","2,848","29,035",839,"43,950,029","523,463","83,960,193 ",Europe,"341,1922",
,11,Colombia,"2,244,792",,"59,518 ",,"2,141,874",,"43,400","2,240","43,811","1,162","11,384,738","222,192","51,238,374 ",South America,238615,
